Class Name                                        Building/Room       Class Times              Professor Names               
-----------------------------------------------------------------------------------------------------------------------------
01:013:111                                        SC-221              2:00 PM - 3:20 PM        HABERL, CHARLES               
THE BIBLE IN ARAMAIC                              SC-221              2:00 PM - 3:20 PM        SELIM, SAMAH                  
01:013:120                                        SC-204              3:50 PM - 5:10 PM        ALI, JAMAL                    
LITERARY EGYPT                                    SC-204              3:50 PM - 5:10 PM        ALI, JAMAL                    
01:013:140                                        MU-212              3:50 PM - 5:10 PM        HABBAL, MANAR                 
ELEMENTARY ARABIC I                               MU-212              3:50 PM - 5:10 PM        MOHAMED, JEHAN                
01:013:141                                        HH-B5               12:10 PM - 1:30 PM       ALI, JAMAL                    
ELEMENTARY ARABIC II                              HH-B5               12:10 PM - 1:30 PM       MOHAMED, JEHAN                
01:013:143                                        RAB-209A            5:40 PM - 7:00 PM        RAUCHER, MICHAL               
ARABIC LAB 1                                      RAB-209A            5:40 PM - 7:00 PM        RENDSBURG, GARY               
01:013:152                                        SC-206              2:00 PM - 3:20 PM        KABRA, ANUJA                  
ELEM MODERN HEBREW                                SC-206              2:00 PM - 3:20 PM        PARVEEN                       
01:013:154                                        SC-219              10:20 AM - 11:40 AM      KABRA, ANUJA                  
BIBLICAL HEBREW I                                 SC-219              10:20 AM - 11:40 AM      PARVEEN                       
01:013:160                                        SC-220              12:15 PM - 1:05 PM       PAYDAR, FERI                  
ELEMENTARY HINDI I                                SC-220              12:15 PM - 1:05 PM       OZTOPRAK, DILEK               
01:013:161                                        FH-A5               12:15 PM - 1:05 PM                                     
ELEMENTARY HINDI II                               FH-A5               12:15 PM - 1:05 PM                                     
01:013:162                                        SC-220              12:15 PM - 1:05 PM       BORJIAN, MARYAM               
ELEMENTARY URDU I                                 SC-220              6:00 PM - 9:00 PM        BORJIAN, MARYAM               
01:013:176                                        HH-A2               2:00 PM - 3:20 PM        BORJIAN, MARYAM               
ELEMENTARY PERSIAN I                              HH-A2               2:00 PM - 3:20 PM        OKEREKE-BESHEL                
01:013:190                                        SPR-403             12:10 PM - 1:30 PM       MAZRUI, ALAMIN; KHAYYAT, EMRAH
ELEMENTARY TURKISH I                              SPR-403             12:10 PM - 1:30 PM       MAZRUI, ALAMIN; KHAYYAT, EMRAH
01:013:192                                        SPR-402             10:20 AM - 11:40 AM      GANGOPADHYAY                  
ELEMENTARY TWI I                                  SPR-402             10:20 AM - 11:40 AM      HABBAL, MANAR                 
01:013:194                                        SPR-319             10:20 AM - 11:40 AM      KASHOU, HANAN                 
ELEMENTARY YORUBA                                 SPR-319             10:20 AM - 11:40 AM      RAUCHER, MICHAL               
01:013:203                                        SPR-319             10:20 AM - 11:40 AM      PARVEEN                       
LANGUAGE &amp; SOCIETY IN AFRICA, THE MIDDLEEAST, AND SOUTH..SPR-319             10:20 AM - 11:40 AM      PAYDAR, FERI                  
01:013:204                                        HH-A6               10:20 AM - 11:40 AM      OZTOPRAK, DILEK               
INTRODUCTION TO DISCOURSE ANALYSIS                HH-A6               10:20 AM - 11:40 AM      KHAYYAT, EMRAH                
01:013:210                                        HH-B4               11:15 AM - 12:05 PM      HABERL, CHARLES               
WORLD LITERATURE AND SOCIAL CHANGE                HH-B4               9:45 AM - 11:00 AM       OKEREKE-BESHEL                
01:013:225                                        SC-102              11:15 AM - 12:05 PM      OKEREKE-BESHEL                
GLOBAL ARABIC                                     SC-102              9:45 AM - 11:00 AM       NERLEKAR                      
01:013:232                                        SC-219              11:30 AM - 12:20 PM      SAIKUMAR                      
WOMEN WRITERS OF SOUTH ASIA                       SC-219              11:30 AM - 12:45 PM      SEN, MEHELI                   
01:013:240                                        MU-211              11:30 AM - 12:20 PM      KASHOU, HANAN                 
INTERMEDIATE ARABIC I                             MU-211              11:30 AM - 12:45 PM      RAUCHER, MICHAL               
01:013:252                                        SPR-403             3:50 PM - 5:10 PM        OZTOPRAK, DILEK               
INTERMED MOD HEBREW                               SPR-403             3:50 PM - 5:10 PM        JACKSON-BREWER                
01:013:260                                        SPR-402             2:00 PM - 3:20 PM        RAMACHANDRAN                  
INTERMEDIATE HINDI I                              SPR-402             2:00 PM - 3:20 PM        RAMSAMY                       
01:013:276                                        HH-A6               2:00 PM - 3:20 PM        BONADIE                       
INTERMEDIATE PERSIAN I                            HH-A6               2:00 PM - 3:20 PM        RAMACHANDRAN                  
01:013:290                                        SC-221              2:00 PM - 3:20 PM        RAMACHANDRAN                  
INTERMEDIATE TURKISH I                            SC-221              2:00 PM - 3:20 PM        JOHNSON, WALTON               
01:013:302                                        SC-214              2:00 PM - 3:20 PM        WESTBROOK                     
TOPICS IN AFRICAN, MIDDLE EASTERN AND SOUTH ASIAN LANGU..SC-214              2:00 PM - 3:20 PM        GRIER, APRIL                  
01:013:308                                        SC-120              11:10 AM - 12:00 PM                                    
MINORITIES IN THE MIDDLE EAST                     SC-120              11:10 AM - 12:00 PM      RAMSAMY                       
01:013:311                                        CI-203              11:10 AM - 12:00 PM      REEVEY, AARON                 
WOMEN WRITERS OF AFRICA                           CI-203              11:10 AM - 12:00 PM      ERAKAT, NOURA                 
01:013:312                                        AB-4140             11:10 AM - 12:00 PM      TATE, GAYLE                   
AFRICN FOLKLORE &amp; MYTH                        AB-4140             12:10 PM - 1:30 PM       KHAN, KAMAL                   
01:013:321                                        MU-112              12:10 PM - 1:30 PM       RAMACHANDRAN                  
INDEPENDENT STUDY                                 SPR-402             12:10 PM - 1:30 PM       REEVEY, AARON                 
01:013:331                                        SPR-402             12:10 PM - 1:30 PM       KHAN, KAMAL                   
MOD LIT SOUTH ASIA                                BE-101              3:50 PM - 5:10 PM        TATE, GAYLE                   
01:013:337                                        BE-101              3:50 PM - 5:10 PM        HOVE, EMMANUEL                
FILM AND LITERATURE IN SOUTH ASIA                 BE-011              3:50 PM - 5:10 PM        REEVEY, AARON                 
01:013:340                                        BE-011              3:50 PM - 5:10 PM        PLUMMER, JOEL                 
ADVANCED ARABIC I                                 TIL-264             2:00 PM - 3:20 PM        ZAMALIN                       
01:013:352                                        TIL-264             2:00 PM - 3:20 PM        BRITTON, AKISSI               
ADV MODERN HEBREW                                 RAB-110B            3:50 PM - 5:10 PM        ZAMALIN                       
01:013:390                                        RAB-110B            3:50 PM - 5:10 PM                                      
ADVANCED TURKISH                                  HCK-127             3:50 PM - 5:10 PM                                      
01:014:103                                        LSH-B267            3:50 PM - 5:10 PM        KELLY, SAMANTHA               
INTRODUCTION TO AFRICANA STUDIES                  BE-AUD              12:10 PM - 1:30 PM                                     
01:014:132                                        BE-AUD              12:10 PM - 1:30 PM                                     
BLACK EXPERIENCE AND FILM MEDIUM                  LSH-A121            10:20 AM - 11:40 AM      MACHADO CAMPELL               
01:014:140                                        LSH-B267            3:30 PM - 4:45 PM        OKEREKE-BESHEL                
INTRODUCTION TO AMERICAN CULTURES                 LSH-B117            3:30 PM - 4:45 PM        ISAAC, ALLAN                  
01:014:202                                        BE-219              2:00 PM - 3:20 PM        ODOH, IJEOMA                  
WHAT EVERYONE SHOULD KNOW ABOUT 'RACE'            BE-219              2:00 PM - 3:20 PM        CHAN-MALIK                    
01:014:203                                        LSH-B205            10:20 AM - 11:40 AM      GILLESPIE                     
BLACK EXPERIENCE IN AMERICA                       BE-011              10:20 AM - 11:40 AM      CEVASCO, CARLA                
01:014:210                                        BE-101              3:50 PM - 5:10 PM        MASUR, LOUIS                  
AFRICA: CONTINENT OF THE FUTURE?                  BE-101              3:50 PM - 5:10 PM        GILLESPIE                     
01:014:223                                        LSH-B112            2:00 PM - 3:20 PM        SIFUENTES-JAURE               
INDEPENDENT STUDY                                 TIL-103B            2:00 PM - 3:20 PM        RAMSAMY                       
01:014:233                                        CCB-1203            7:30 PM - 8:50 PM        WESTBROOK                     
INTRODUCTION TO RESEARCH IN AFRICANA    STUDIES   CCB-1203            7:30 PM - 8:50 PM        SWEET, JAMESON                
01:014:286                                        HCK-214             5:40 PM - 8:40 PM        ZEMLA                         
MENTORING AS PUBLIC SERVICE I                     HCK-214             5:40 PM - 8:40 PM        KENNEDY, MARIA                
01:014:305                                        BE-213              5:40 PM - 7:00 PM        NIGRIN, ALBERT                
RACE, INTERNATIONAL LAW AND EMPIRE                BE-213              5:40 PM - 7:00 PM        BHATTACHARYA                  
01:014:306                                        BE-013              7:30 PM - 10:30 PM       MORALES                       
THE BLACK WOMEN IN POLITICAL CONTEXT              BE-013              2:00 PM - 3:20 PM        ISAAC, ALLAN                  
01:014:307                                        FH-A3               10:20 AM - 1:20 PM       ALMIRON                       
AFRICANA COMMUNITY HEALTHCARE EXPERIENCEPERSPECTIVES FR..FH-A3               12:10 PM - 1:30 PM       CHAN-MALIK                    
01:014:317                                        AB-5141             12:10 PM - 1:30 PM       DECKER                        
BLACK PROFILES                                    AB-5141             5:40 PM - 8:40 PM        GILLESPIE                     
01:014:341                                        SC-214              5:40 PM - 8:40 PM        KENNEDY, MARIA                
