Building/Room       Class Times              Professor Names               
---------------------------------------------------------------------------
SC-221              2:00 PM - 3:20 PM        HABERL, CHARLES               
SC-221              2:00 PM - 3:20 PM        SELIM, SAMAH                  
SC-204              3:50 PM - 5:10 PM        ALI, JAMAL                    
SC-204              3:50 PM - 5:10 PM        ALI, JAMAL                    
MU-212              3:50 PM - 5:10 PM        HABBAL, MANAR                 
MU-212              3:50 PM - 5:10 PM        MOHAMED, JEHAN                
HH-B5               12:10 PM - 1:30 PM       ALI, JAMAL                    
HH-B5               12:10 PM - 1:30 PM       MOHAMED, JEHAN                
RAB-209A            5:40 PM - 7:00 PM        RAUCHER, MICHAL               
RAB-209A            5:40 PM - 7:00 PM        RENDSBURG, GARY               
SC-206              2:00 PM - 3:20 PM        KABRA, ANUJA                  
SC-206              2:00 PM - 3:20 PM        PARVEEN                       
SC-219              10:20 AM - 11:40 AM      KABRA, ANUJA                  
SC-219              10:20 AM - 11:40 AM      PARVEEN                       
SC-220              12:15 PM - 1:05 PM       PAYDAR, FERI                  
SC-220              12:15 PM - 1:05 PM       OZTOPRAK, DILEK               
FH-A5               12:15 PM - 1:05 PM                                     
FH-A5               12:15 PM - 1:05 PM                                     
SC-220              12:15 PM - 1:05 PM       BORJIAN, MARYAM               
SC-220              6:00 PM - 9:00 PM        BORJIAN, MARYAM               
HH-A2               2:00 PM - 3:20 PM        BORJIAN, MARYAM               
HH-A2               2:00 PM - 3:20 PM        OKEREKE-BESHEL                
SPR-403             12:10 PM - 1:30 PM       MAZRUI, ALAMIN; KHAYYAT, EMRAH
SPR-403             12:10 PM - 1:30 PM       MAZRUI, ALAMIN; KHAYYAT, EMRAH
SPR-402             10:20 AM - 11:40 AM      GANGOPADHYAY                  
SPR-402             10:20 AM - 11:40 AM      HABBAL, MANAR                 
SPR-319             10:20 AM - 11:40 AM      KASHOU, HANAN                 
SPR-319             10:20 AM - 11:40 AM      RAUCHER, MICHAL               
SPR-319             10:20 AM - 11:40 AM      PARVEEN                       
SPR-319             10:20 AM - 11:40 AM      PAYDAR, FERI                  
HH-A6               10:20 AM - 11:40 AM      OZTOPRAK, DILEK               
HH-A6               10:20 AM - 11:40 AM      KHAYYAT, EMRAH                
HH-B4               11:15 AM - 12:05 PM      HABERL, CHARLES               
HH-B4               9:45 AM - 11:00 AM       OKEREKE-BESHEL                
