| Day                            | Time                           | Campus                         | Building & Room                |
|--------------------------------|--------------------------------|--------------------------------|--------------------------------|
| Monday                         | 10:20 AM - 11:40 AM            | Livingston                     | BE-101                         |
| Thursday                       | 10:20 AM - 11:40 AM            | Livingston                     | BE-101                         |
| Monday                         | 3:50 PM - 5:10 PM              | Livingston                     | BE-011                         |
| Wednesday                      | 3:50 PM - 5:10 PM              | Livingston                     | BE-011                         |
| Monday                         | 2:00 PM - 3:20 PM              | Livingston                     | TIL-264                        |
| Wednesday                      | 2:00 PM - 3:20 PM              | Livingston                     | TIL-264                        |
| Monday                         | 5:40 PM - 8:40 PM              | Livingston                     | LSH-B267                       |
| Tuesday                        | 5:40 PM - 7:00 PM              | Livingston                     | BE-AUD                         |
| Thursday                       | 5:40 PM - 7:00 PM              | Livingston                     | BE-AUD                         |
| Monday                         | 7:30 PM - 10:30 PM             | Livingston                     | LSH-A121                       |
| Monday                         | 2:00 PM - 3:20 PM              | Livingston                     | LSH-B267                       |
| Tuesday                        | 10:20 AM - 1:20 PM             | Livingston                     | LSH-B117                       |
| Monday                         | 12:10 PM - 1:30 PM             | Livingston                     | BE-219                         |
| Thursday                       | 12:10 PM - 1:30 PM             | Livingston                     | BE-219                         |
| Thursday                       | 5:40 PM - 8:40 PM              | Livingston                     | LSH-B205                       |
| Monday                         | 5:40 PM - 8:40 PM              | Livingston                     | BE-011                         |
| Tuesday                        | 7:30 PM - 8:50 PM              | Livingston                     | BE-101                         |
| Thursday                       | 7:30 PM - 8:50 PM              | Livingston                     | BE-101                         |
| Tuesday                        | 7:30 PM - 10:30 PM             | Livingston                     | LSH-B112                       |
| Tuesday                        | 12:10 PM - 1:30 PM             | Livingston                     | TIL-103B                       |
| Tuesday                        | 5:40 PM - 7:00 PM              | Busch                          | CCB-1203                       |
| Thursday                       | 5:40 PM - 7:00 PM              | Busch                          | CCB-1203                       |
| Monday                         | 10:20 AM - 11:40 AM            | Livingston                     | BE-213                         |
| Thursday                       | 10:20 AM - 11:40 AM            | Livingston                     | BE-213                         |
| Monday                         | 8:30 AM - 9:50 AM              | Livingston                     | BE-013                         |
| Thursday                       | 8:30 AM - 9:50 AM              | Livingston                     | BE-013                         |
| Monday                         | 8:30 AM - 9:50 AM              | Livingston                     | TIL-204                        |
| Thursday                       | 8:30 AM - 9:50 AM              | Livingston                     | TIL-204                        |
| Monday                         | 5:40 PM - 7:00 PM              | Livingston                     | TIL-207                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Livingston                     | TIL-207                        |
| Tuesday                        | 5:40 PM - 7:00 PM              | Livingston                     | BE-AUD                         |
| Thursday                       | 5:40 PM - 7:00 PM              | Livingston                     | BE-AUD                         |
| Tuesday                        | 12:10 PM - 1:30 PM             | Livingston                     | BE-253                         |
| Friday                         | 12:10 PM - 1:30 PM             | Livingston                     | BE-253                         |
| Friday                         | 3:50 PM - 5:10 PM              | Livingston                     | TIL-103A                       |
| Monday                         | 10:20 AM - 11:40 AM            | Livingston                     | LSH-A256                       |
| Thursday                       | 10:20 AM - 11:40 AM            | Livingston                     | LSH-A256                       |
| Monday                         | 12:10 PM - 1:30 PM             | Busch                          | SEC-206                        |
