Course Code,Title,Subject,Course Number,Credits,School,Campus Locations,Prerequisites,Core Requirements,Section #,Instructors,Status,Comments,Time,Weekdays,Meeting Times
01:013:111,BIBLE IN ARAMAIC,"013 - African, Middle Eastern, and South Asian Languages and Literatures",111,3 (3.0 credits),School of Arts and Sciences,College Avenue; O,,"AHp: Arts and Literatures, HST: Historical Analysis",01,"HABERL, CHARLES",CLOSED,"Go to http://canvas.rutgers.edu, Hybrid Section - Some Meetings Online",1400-1520,Thursday,H: 1400-1520 at SC 120 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:130,COMICS MIDEAST,"013 - African, Middle Eastern, and South Asian Languages and Literatures",130,3 (3.0 credits),School of Arts and Sciences,College Avenue,,HST: Historical Analysis,01,KOERBER,CLOSED,Go to http://canvas.rutgers.edu,1740-1900,Monday,M: 1740-1900 at SC 214 (LEC); W: 1740-1900 at SC 214 (LEC)
01:013:140,ELEMENTARY ARABIC I,"013 - African, Middle Eastern, and South Asian Languages and Literatures",140,4 (4.0 credits),School of Arts and Sciences,College Avenue; Livingston; Cook/Douglass; O,,None,01,"HABBAL, MANAR",CLOSED,"Go to http://canvas.rutgers.edu, Hybrid Section - Some Meetings Online, First-year students welcome",1400-1520,Tuesday,T: 1400-1520 at BE 221 (LEC); H: 1400-1520 at BE 221 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:140,ELEMENTARY ARABIC I,"013 - African, Middle Eastern, and South Asian Languages and Literatures",140,4 (4.0 credits),School of Arts and Sciences,College Avenue; Livingston; Cook/Douglass; O,,None,03,"HABBAL, MANAR",CLOSED,"Go to http://canvas.rutgers.edu, Hybrid Section - Some Meetings Online, First-year students welcome",1740-1900,Tuesday,T: 1740-1900 at RAB 109B (LEC); H: 1740-1900 at RAB 109B (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:140,ELEMENTARY ARABIC I,"013 - African, Middle Eastern, and South Asian Languages and Literatures",140,4 (4.0 credits),School of Arts and Sciences,College Avenue; Livingston; Cook/Douglass; O,,None,04,"MOHAMED, JEHAN",CLOSED,"First-year students welcome, Hybrid Section - Some Meetings Online, Go to http://canvas.rutgers.edu",1020-1140,Monday,M: 1020-1140 at HH A2 (LEC); H: 1020-1140 at HH A2 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:141,ELEMENTARY ARABIC II,"013 - African, Middle Eastern, and South Asian Languages and Literatures",141,4 (4.0 credits),School of Arts and Sciences,College Avenue; O,(01:013:140 ELEMENTARY ARABIC I )<em> OR </em>(01:074:140 ELEMENTARY ARABIC I ),None,01,"MOHAMED, JEHAN",OPEN,Hybrid Section - Some Meetings Online,1400-1520,Monday,M: 1400-1520 at SC 120 (LEC); W: 1400-1520 at SC 120 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:152,ELEM MODERN HEBREW,"013 - African, Middle Eastern, and South Asian Languages and Literatures",152,4 (4.0 credits),School of Arts and Sciences,College Avenue,,None,01,"GOLDMAN, ORNA",OPEN,Go to http://canvas.rutgers.edu,0830-0950,Monday,M: 0830-0950 at MH 116 (LEC); W: 0830-0950 at MH 116 (LEC); H: 0830-0950 at MH 116 (LEC)
01:013:160,ELEMENTARY HINDI I,"013 - African, Middle Eastern, and South Asian Languages and Literatures",160,4 (4.0 credits),School of Arts and Sciences,College Avenue; O,,None,01,"KABRA, ANUJA",OPEN,"Go to http://canvas.rutgers.edu, First-year students welcome, Hybrid Section - Some Meetings Online",1400-1520,Monday,M: 1400-1520 at HC N106 (LEC); W: 1400-1520 at HC N106 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:160,ELEMENTARY HINDI I,"013 - African, Middle Eastern, and South Asian Languages and Literatures",160,4 (4.0 credits),School of Arts and Sciences,College Avenue; O,,None,02,PARVEEN,OPEN,"First-year students welcome, Hybrid Section - Some Meetings Online, Go to http://canvas.rutgers.edu",1020-1140,Monday,M: 1020-1140 at HC E128 (LEC); H: 1020-1140 at HC E128 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:162,ELEMENTARY URDU I,"013 - African, Middle Eastern, and South Asian Languages and Literatures",162,4 (4.0 credits),School of Arts and Sciences,College Avenue; O,,None,01,PARVEEN,OPEN,"Go to http://canvas.rutgers.edu, First-year students welcome, Hybrid Section - Some Meetings Online",1550-1710,Tuesday,T: 1550-1710 at SC 219 (LEC); H: 1550-1710 at SC 219 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:176,ELEMENTARY PERSIAN I,"013 - African, Middle Eastern, and South Asian Languages and Literatures",176,4 (4.0 credits),School of Arts and Sciences,Downtown New Brunswick; O,,None,01,"PAYDAR, FERI",OPEN,"First-year students welcome, Hybrid Section - Some Meetings Online, Go to http://canvas.rutgers.edu",1020-1140,Monday,M: 1020-1140 at SPR 403 (LEC); H: 1020-1140 at SPR 403 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:190,ELEMENTARY TURKISH I,"013 - African, Middle Eastern, and South Asian Languages and Literatures",190,4 (4.0 credits),School of Arts and Sciences,Downtown New Brunswick; O,,None,01,"OZTOPRAK, DILEK",OPEN,"Go to http://canvas.rutgers.edu, Hybrid Section - Some Meetings Online, First-year students welcome",1020-1140,Monday,M: 1020-1140 at SPR 402 (LEC); H: 1020-1140 at SPR 402 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:194,ELEMENTARY YORUBA,"013 - African, Middle Eastern, and South Asian Languages and Literatures",194,4 (4.0 credits),School of Arts and Sciences,O,,None,90,"MAZRUI, ALAMIN",CLOSED,Big Ten Academic Alliance CourseShare offering received from a Big Ten university,1130-1220,Monday,M: 1130-1220 at   (ONLINE INSTRUCTION(INTERNET)); T: 1130-1245 at   (ONLINE INSTRUCTION(INTERNET)); W: 1130-1220 at   (ONLINE INSTRUCTION(INTERNET)); H: 1130-1245 at   (ONLINE INSTRUCTION(INTERNET))
01:013:201,CROSSROADS:AMESALL,"013 - African, Middle Eastern, and South Asian Languages and Literatures",201,3 (3.0 credits),School of Arts and Sciences,O,,"AHo: Philosophical and Theoretical Issues, AHp: Arts and Literatures",90,"MAZRUI, ALAMIN",CLOSED,Go to http://canvas.rutgers.edu,1020-1140,Monday,M: 1020-1140 at   (ONLINE INSTRUCTION(INTERNET)); H: 1020-1140 at   (ONLINE INSTRUCTION(INTERNET))
01:013:203,LANG & SOC IN AMESA,"013 - African, Middle Eastern, and South Asian Languages and Literatures",203,3 (3.0 credits),School of Arts and Sciences,College Avenue,,"AHo: Philosophical and Theoretical Issues, AHq: Nature of Languages",01,"BORJIAN, MARYAM",OPEN,Go to http://canvas.rutgers.edu,1020-1140,Tuesday,T: 1020-1140 at MU 210 (LEC); F: 1020-1140 at MU 210 (LEC)
01:013:204,INTRO DISCOURSE ANAL,"013 - African, Middle Eastern, and South Asian Languages and Literatures",204,3 (3.0 credits),School of Arts and Sciences,College Avenue,,"CCD: Diversities and Social Inequalities, SCL: Social Analysis",01,"BORJIAN, MARYAM",CLOSED,Go to http://canvas.rutgers.edu,1210-1330,Tuesday,T: 1210-1330 at MU 115 (LEC); F: 1210-1330 at MU 115 (LEC)
01:013:204,INTRO DISCOURSE ANAL,"013 - African, Middle Eastern, and South Asian Languages and Literatures",204,3 (3.0 credits),School of Arts and Sciences,College Avenue,,"CCD: Diversities and Social Inequalities, SCL: Social Analysis",02,"BORJIAN, MARYAM",CLOSED,,1550-1710,Tuesday,T: 1550-1710 at FH B2 (LEC); H: 1550-1710 at FH B2 (LEC)
