| Day                            | Time                           | Campus                         | Building & Room                |
|--------------------------------|--------------------------------|--------------------------------|--------------------------------|
| Monday                         | 1740 - 1900                    | COLLEGE AVENUE                 | SC-120                         |
| Wednesday                      | 1740 - 1900                    | COLLEGE AVENUE                 | SC-120                         |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | AB-1100                        |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | AB-1100                        |
| Tuesday                        | 1400 - 1520                    | COLLEGE AVENUE                 | MU-212                         |
| Thursday                       | 1400 - 1520                    | COLLEGE AVENUE                 | MU-212                         |
| Monday                         | 0830 - 0950                    | COLLEGE AVENUE                 | MH-116                         |
| Wednesday                      | 0830 - 0950                    | COLLEGE AVENUE                 | MH-116                         |
| Thursday                       | 0830 - 0950                    | COLLEGE AVENUE                 | MH-116                         |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | SC-221                         |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | SC-221                         |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | HC-N106                        |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | HC-N106                        |
| Monday                         | 1020 - 1140                    | DOWNTOWN NB                    | SPR-403                        |
| Thursday                       | 1020 - 1140                    | DOWNTOWN NB                    | SPR-403                        |
| Monday                         | 1400 - 1520                    | DOWNTOWN NB                    | SPR-402                        |
| Wednesday                      | 1400 - 1520                    | DOWNTOWN NB                    | SPR-402                        |
| Monday                         | 1020 - 1140                    | COLLEGE AVENUE                 | SC-101                         |
| Thursday                       | 1020 - 1140                    | COLLEGE AVENUE                 | SC-101                         |
| Tuesday                        | 1400 - 1520                    | COLLEGE AVENUE                 | HH-A5                          |
| Thursday                       | 1400 - 1520                    | COLLEGE AVENUE                 | HH-A5                          |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | MU-204                         |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | MU-204                         |
| Tuesday                        | 1400 - 1520                    | COLLEGE AVENUE                 | HH-B3                          |
| Thursday                       | 1400 - 1520                    | COLLEGE AVENUE                 | HH-B3                          |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | SC-205                         |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | SC-205                         |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | SC-121                         |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | SC-121                         |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | FH-B6                          |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | FH-B6                          |
| Tuesday                        | 1550 - 1710                    | COLLEGE AVENUE                 | HH-B4                          |
| Thursday                       | 1550 - 1710                    | COLLEGE AVENUE                 | HH-B4                          |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | MU-213                         |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | MU-213                         |
| Monday                         | 1020 - 1140                    | COLLEGE AVENUE                 | MH-116                         |
| Wednesday                      | 1020 - 1140                    | COLLEGE AVENUE                 | MH-116                         |
| Thursday                       | 1020 - 1140                    | COLLEGE AVENUE                 | MH-116                         |
| Monday                         | 1020 - 1140                    | COLLEGE AVENUE                 | MU-207                         |
| Thursday                       | 1020 - 1140                    | COLLEGE AVENUE                 | MU-207                         |
| Monday                         | 1210 - 1330                    | DOWNTOWN NB                    | SPR-403                        |
| Thursday                       | 1210 - 1330                    | DOWNTOWN NB                    | SPR-403                        |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | SC-120                         |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | SC-120                         |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | SC-114                         |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | SC-114                         |
| Monday                         | 1020 - 1140                    | DOWNTOWN NB                    | SPR-402                        |
| Thursday                       | 1020 - 1140                    | DOWNTOWN NB                    | SPR-402                        |
| Monday                         | 1020 - 1140                    | COLLEGE AVENUE                 | AB-4052                        |
| Thursday                       | 1020 - 1140                    | COLLEGE AVENUE                 | AB-4052                        |
| Tuesday                        | 1550 - 1710                    | COLLEGE AVENUE                 | SC-101                         |
| Thursday                       | 1550 - 1710                    | COLLEGE AVENUE                 | SC-101                         |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | HH-A2                          |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | HH-A2                          |
| Tuesday                        | 1020 - 1140                    | COLLEGE AVENUE                 | MU-112                         |
| Friday                         | 1020 - 1140                    | COLLEGE AVENUE                 | MU-112                         |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | MU-115                         |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | MU-115                         |
| Tuesday                        | 1550 - 1710                    | LIVINGSTON                     | TIL-224                        |
| Thursday                       | 1550 - 1710                    | LIVINGSTON                     | TIL-224                        |
| Tuesday                        | 1210 - 1330                    | LIVINGSTON                     | LSH-B123                       |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | SC-104                         |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | SC-104                         |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | MH-116                         |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | MH-116                         |
| Tuesday                        | 1210 - 1330                    | COLLEGE AVENUE                 | HC-S126                        |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | AB-4140                        |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | AB-4140                        |
| Monday                         | 1210 - 1330                    | COLLEGE AVENUE                 | SC-220                         |
| Thursday                       | 1210 - 1330                    | COLLEGE AVENUE                 | SC-220                         |
| Tuesday                        | 1400 - 1520                    | COLLEGE AVENUE                 | AB-2250                        |
| Thursday                       | 1400 - 1520                    | COLLEGE AVENUE                 | AB-2250                        |
| Tuesday                        | 1550 - 1710                    | COLLEGE AVENUE                 | HC-S124                        |
| Thursday                       | 1550 - 1710                    | COLLEGE AVENUE                 | HC-S124                        |
| Tuesday                        | 1550 - 1850                    | LIVINGSTON                     | LSH-A232                       |
| Monday                         | 1400 - 1520                    | DOUGLAS/COOK                   | HCK-130                        |
| Wednesday                      | 1400 - 1520                    | DOUGLAS/COOK                   | HCK-130                        |
| Monday                         | 1020 - 1140                    | LIVINGSTON                     | BE-121                         |
| Thursday                       | 1020 - 1140                    | LIVINGSTON                     | BE-121                         |
| Monday                         | 0830 - 0950                    | LIVINGSTON                     | BE-253                         |
| Thursday                       | 0830 - 0950                    | LIVINGSTON                     | BE-253                         |
| Tuesday                        | 1400 - 1520                    | LIVINGSTON                     | TIL-253                        |
| Thursday                       | 1400 - 1520                    | LIVINGSTON                     | TIL-253                        |
| Monday                         | 1740 - 2040                    | LIVINGSTON                     | TIL-252                        |
| Thursday                       | 1740 - 2040                    | LIVINGSTON                     | TIL-242                        |
| Tuesday                        | 1550 - 1710                    | LIVINGSTON                     | TIL-209                        |
| Thursday                       | 1550 - 1710                    | LIVINGSTON                     | TIL-209                        |
| Monday                         | 1740 - 1900                    | LIVINGSTON                     | LSH-AUD                        |
| Wednesday                      | 1740 - 1900                    | LIVINGSTON                     | LSH-AUD                        |
| Monday                         | 1020 - 1140                    | LIVINGSTON                     | BE-011                         |
| Thursday                       | 1020 - 1140                    | LIVINGSTON                     | BE-011                         |
| Monday                         | 1740 - 1900                    | LIVINGSTON                     | LSH-A121                       |
| Wednesday                      | 1740 - 1900                    | LIVINGSTON                     | LSH-A121                       |
| Tuesday                        | 1400 - 1520                    | LIVINGSTON                     | LSH-B112                       |
| Thursday                       | 1400 - 1520                    | LIVINGSTON                     | LSH-B112                       |
| Wednesday                      | 1740 - 2040                    | LIVINGSTON                     | BE-101                         |
| Tuesday                        | 1210 - 1330                    | LIVINGSTON                     | LSH-B267                       |
| Tuesday                        | 1550 - 1710                    | LIVINGSTON                     | LSH-B112                       |
| Thursday                       | 1550 - 1710                    | LIVINGSTON                     | LSH-B112                       |
| Monday                         | 1020 - 1140                    | DOUGLAS/COOK                   | HSB-201                        |
| Thursday                       | 1020 - 1140                    | DOUGLAS/COOK                   | HSB-201                        |
| Monday                         | 1020 - 1320                    | LIVINGSTON                     | TIL-252                        |
| Tuesday                        | 1020 - 1320                    | LIVINGSTON                     | TIL-224                        |
| Monday                         | 1740 - 2040                    | LIVINGSTON                     | BE-201                         |
| Tuesday                        | 1740 - 1900                    | LIVINGSTON                     | BE-111                         |
| Thursday                       | 1740 - 1900                    | LIVINGSTON                     | BE-111                         |
| Tuesday                        | 1400 - 1520                    | LIVINGSTON                     | BE-221                         |
| Thursday                       | 1400 - 1520                    | LIVINGSTON                     | BE-221                         |
